state,all_creative,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software
aguascalientes,1.0054126360139408,0.9684217141671734,1.430660797892959,0.49189189875350714,2.231332838999684,0.6656752456786413,0.8580730347310241,1.1318216885396806,0.8721076454658542,0.9324379012357599
baja california,0.8525301135176186,0.7358555722105548,0.7030491277696295,3.0519759750193067,0.5739878532593842,1.1752367119258442,0.5813624538356323,0.7177267912243113,0.6593742960516491,0.4170457653550649
baja california sur,0.7680734414806586,0.7169486583446599,0.8307808741495248,0.40919355355222786,2.1632010248728846,0.9991326699388853,2.041531802609521,0.698044325084179,0.42360147940052173,0.27651546211696487
campeche,1.0081760530515713,0.5762201378765686,2.862377804547491,0.06202802017103748,0.6889919577852051,1.2058913430635705,1.0806834608267297,0.9428404087305439,0.6134961919947157,0.9549338198371276
chiapas,0.7063072484564467,0.4576622927394941,0.28735267417400295,0.12496935737936707,0.3738681378411462,1.0286352733648856,1.2559102843452907,1.2544375427809071,0.6044956382675964,0.12808177425630038
chihuahua,0.8007359066956067,0.6650038934151147,0.6521680798002877,0.435196070219817,0.4519307483888387,1.188418063722963,0.8597683665113441,0.6707031685787342,0.6617008717408458,1.6387403346497802
ciudad de méxico,2.318302191218543,3.441065631403197,2.7064058709156993,0.7491108276666962,2.243410190138978,1.8011619016807507,1.3500517122586972,1.3859874779185328,2.8582766732870883,3.362196635076204
coahuila de zaragoza,0.8835777849165067,0.7528458386915422,1.1717652987041978,1.9394690182577277,0.7476768177545043,1.0401493201381784,1.1957240350650644,0.7836960688146914,0.4996364172309502,0.600606801990044
colima,0.8156422125277485,0.5209816930827632,1.0729138645294967,0.1360195680538783,0.5706961349416142,1.5363794547702532,0.8358855175414421,1.13132965054969,0.45562841845638075,0.4793211456934916
durango,0.7927615896565452,0.5314540887031324,0.4665458487901909,3.754064710285552,0.3291191332414295,0.9122245260446458,1.0393514599133205,0.6790011950790291,0.6667613254485159,0.19604449452844613
guanajuato,0.6963275084335508,0.7471490018638481,0.6732303316755704,0.5209524598816,0.984225366927924,0.675589694873432,0.6401130722589043,0.8059347645000555,0.609352785053824,0.5220759092548252
guerrero,0.6390210623333253,0.3080830282137818,0.11961176941098486,2.844166237929256,0.15273815112871966,0.8026613414626579,1.0298010125231576,0.7601424963383998,0.5707743195964907,0.04694648288064519
hidalgo,0.7172095400774172,0.5199482613736606,0.4201577638133083,1.5319617837469741,0.410367617932276,0.54366602531694,1.1999273704898692,0.9456147811205783,0.7819829019449057,0.24183748540303224
jalisco,0.9889429775985052,0.9523537612808808,0.7963496144731754,1.3382287314589594,1.2108948295436441,0.8571402813599884,0.7966199225225676,1.0189000615127575,0.8537392254184369,1.3622012964856425
michoacán de ocampo,0.651407079209743,0.42327884254538195,0.4286462174181894,0.8258661320143575,0.6071017432202545,0.8412196383016921,0.8712282772186004,0.9295735621233315,0.7103174953536772,0.15978334881031894
morelos,0.6722636695780342,0.47956105837954743,0.3736675862760871,0.33757222852150354,0.6447677336775,1.0989948524185638,0.8005960022756519,1.0089631998297934,0.6636435540503934,0.2297030994551757
méxico,0.7286799906823666,0.493361725738345,0.4927571757673631,0.9174096803203842,1.3796588103504606,0.7296860775268632,0.6836288032803213,0.9269443767388417,1.06865388104415,0.3501030832044482
nayarit,0.6466559692115859,0.3198623794519866,0.4623566660951078,0.44180640031876556,0.2842469176031785,0.6574360676725254,1.1291110334298353,1.17615521193479,0.5691930855411725,0.14588927063815277
nuevo león,1.2273659110587194,1.3607640426658232,1.5204464774581907,1.6097422017551004,1.2895667187871707,1.1134006375694565,0.7322929491027561,0.8886399793860615,0.8351377683300435,2.161219972938052
oaxaca,0.6731931463118017,0.3192418063416467,0.49203657025510267,0.7673647675899632,0.2644922559141868,0.7347550093453606,1.2763280584808867,1.1041653890738115,0.5718792587790705,0.21803777617655265
puebla,0.8681508970696714,0.5821143668417995,0.851999951598331,1.9822403112246814,0.6491270615985667,0.6422492774064298,1.144598143190618,1.06341588687463,0.8761764350662655,0.4177349568633383
querétaro,1.1969764184258471,1.3491896186594377,1.4240358548808858,0.6980541162952059,1.7254751167770204,0.8046722696510209,0.3436274987985997,1.2069668489694874,0.7641744305766329,2.23596108608377
quintana roo,1.008740373223755,1.0512253610261064,0.3580450689573489,0.10689594169780677,1.4685004186733162,1.5879278477446577,3.5641397522532885,0.9347690857681187,0.7900922195611665,0.32126695416406015
san luis potosí,0.8047481210236799,0.6376310574104044,1.1507202681288562,0.6580549650701701,0.49309118688461123,0.7028739510720066,1.0102062806801546,1.1013261479666208,0.7182182879909155,0.2388274417766267
sinaloa,0.8228005766247287,0.6075687452680036,0.5200575205632393,0.3626868316507276,1.1353716234019398,0.9092091017279033,0.8278805076586635,1.3614505353363144,0.6010109121085444,0.5858826537656276
sonora,0.8457488884057387,0.6840393658535303,1.250946952555594,0.5875060778395659,0.6254061050974675,1.1474569516843889,0.7894459038119582,0.7798265509930004,0.7349321998384161,0.9917827574963363
tabasco,0.9918154496828311,0.7827759721444201,1.648516960303492,0.16473622607861993,0.7023916780831502,1.2639931787354355,1.5759899370350585,1.018152345282073,0.7736428688748357,0.8341087355525558
tamaulipas,0.6446084444603851,0.5829117489626381,0.7787265394608931,0.939592026722533,0.3939797986034966,0.8884325724745472,0.6410610731663935,0.6130337597237894,0.6313551108764331,0.3553831862295167
tlaxcala,0.6311768886240926,0.2029922040952558,0.26704604103666285,0.8428177400513484,0.5217536847068734,0.3415355302986583,0.860238409497447,1.167423099572503,0.6678662317950828,0.5649384938076005
veracruz de ignacio de la llave,0.6874108525140178,0.48073713930572054,0.8421289736184336,0.15720376839366593,0.3796861627078824,0.8489825479508607,0.8796400304216436,0.9025354924596563,0.7107293767847858,0.4759380142774416
yucatán,0.9474592952839125,0.885668224194338,0.4582583232306037,0.5460459397139963,0.5705933135608188,0.9798640330563216,1.2887142269671887,1.272819403423748,0.8937094026502552,0.9017757495799226
zacatecas,0.7375456654643823,0.38297599418063266,0.6579879433464854,0.8943681396658202,0.3552567670492214,0.9462370325998425,1.7759433869383305,0.9513248540249676,0.7112544376069084,0.18732935340469864
